Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1600000.092,300,0.2,0.8,572.921392,332.4227413,0.962864701,0.746243394
1600000.092,300,0.22,0.78,610.0770964,315.9268144,1.07538188,1.644986391
1600000.092,300,0.24,0.76,643.5243173,300.7928242,0.909824013,1.191941126
1600000.092,300,0.26,0.74,675.9269137,285.4713222,1.51483389,1.043918564
1600000.092,300,0.28,0.72,705.9419132,271.9147133,1.372865674,1.681805093
1600000.092,300,0.3,0.7,734.1529338,259.337623,1.063561738,1.04563029
1600000.092,300,0.32,0.68,762.0618079,245.7878717,2.27516513,1.568045869
1600000.092,300,0.34,0.66,788.3722311,233.8853597,1.618415344,0.889358373
1600000.092,300,0.36,0.64,811.5937391,222.1089176,1.784372001,0.58942281
1600000.092,300,0.38,0.62,835.6765651,211.4624816,2.728002658,0.678214715
1600000.092,300,0.4,0.6,856.9062295,200.7334074,1.074652586,0.292712265
1600000.092,300,0.42,0.58,876.7644596,191.0026238,1.590193834,0.418984338
1600000.092,300,0.44,0.56,897.0579205,180.8864437,1.464463673,0.518168059
1600000.092,300,0.46,0.54,916.6385319,171.3845429,2.085178071,0.275310988
1600000.092,300,0.48,0.52,934.9129895,162.2325902,1.799508936,0.367143072
1600000.092,300,0.5,0.5,951.6263033,153.3521382,1.021298638,1.040738816
1600000.092,300,0.52,0.48,968.5888009,144.984746,2.124822285,0.949491624
1600000.092,300,0.54,0.46,985.559384,136.857995,1.968295026,0.722334516
1600000.092,300,0.56,0.44,1000.00215,129.0366,2.01378988,0.488463861
1600000.092,300,0.58,0.42,1015.448245,121.2289377,1.354583538,0.554342662
1600000.092,300,0.6,0.4,1029.739911,114.0547596,1.747810377,1.058642314
1600000.092,300,0.62,0.38,1043.246121,106.6917537,1.536012663,0.221618962
1600000.092,300,0.64,0.36,1057.36091,99.82010898,1.730179963,0.373977571
1600000.092,300,0.66,0.34,1070.041427,93.02698089,1.589152346,0.447120466
1600000.092,300,0.68,0.32,1081.387572,86.29955466,0.885959435,0.389640684
1600000.092,300,0.7,0.3,1093.987478,79.90410114,2.597398944,0.257284634
1600000.092,300,0.72,0.28,1106.43973,73.68933637,1.546834552,0.519055195
1600000.092,300,0.74,0.26,1117.391126,67.88925176,1.371586349,0.301625492
1600000.092,300,0.76,0.24,1128.654952,61.79049561,1.050081332,0.298190003
1600000.092,300,0.78,0.22,1138.60055,56.10532863,1.216048004,0.261531142
1600000.092,300,0.8,0.2,1148.514132,50.20566953,1.814328691,0.227351275
1600000.092,300,0.82,0.18,1158.310094,44.90873918,1.171150785,0.214942656
1600000.092,300,0.84,0.16,1168.703703,39.36533165,1.889138307,0.215946027
1600000.092,300,0.86,0.14,1178.511793,34.00034431,1.428594671,0.138546068
1600000.092,300,0.88,0.12,1187.613194,29.00696898,2.582292255,0.104544815
1600000.092,300,0.9,0.1,1196.228925,23.85507106,1.400359908,0.065206914
1600000.092,300,0.92,0.08,1205.333581,18.9084871,3.236458498,0.11584142
1600000.092,300,0.94,0.06,1213.860507,14.06778112,1.619511278,0.174755723
1600000.092,300,0.96,0.04,1222.782373,9.285174709,2.489678496,0.11453149
1600000.092,300,0.98,0.02,1231.239976,4.609848992,1.553270678,0.030272985
2000000.09,300,0.02,0.98,92.36964829,608.9726215,0.593117855,0.965041479
2000000.09,300,0.04,0.96,172.8387007,572.7700183,0.324674746,2.490697232
2000000.09,300,0.06,0.94,245.6250786,538.9650651,0.85310517,0.814737754
2000000.09,300,0.08,0.92,310.8954564,507.7503131,0.664699272,1.90528389
2000000.09,300,0.1,0.9,369.9845581,480.9805146,0.91829563,1.907981702
2000000.09,300,0.12,0.88,424.768752,455.1993611,1.422939088,1.470978154
2000000.09,300,0.14,0.86,474.1872155,431.3131016,1.460365008,1.102789995
2000000.09,300,0.16,0.84,520.9330291,408.9665235,1.858094142,1.317606148
2000000.09,300,0.18,0.82,564.0520549,387.6208857,2.623284702,1.179668211
2000000.09,300,0.2,0.8,604.1727065,368.7619434,0.988178761,0.624933998
2000000.09,300,0.22,0.78,641.7162956,349.9645121,1.57219291,1.689337896
2000000.09,300,0.24,0.76,676.2642779,332.2130461,0.942860414,0.982137201
2000000.09,300,0.26,0.74,708.7199453,316.1621393,0.972317823,1.482343684
2000000.09,300,0.28,0.72,739.3613505,300.9326441,1.118867856,1.314254496
2000000.09,300,0.3,0.7,768.4786475,285.8638189,1.256452271,0.192496252
2000000.09,300,0.32,0.68,795.6239074,271.5034793,1.507969925,0.948626915
2000000.09,300,0.34,0.66,821.6938018,258.0733905,1.506547535,1.96612944
2000000.09,300,0.36,0.64,845.6173064,245.3013074,1.591991398,1.18984791
2000000.09,300,0.38,0.62,868.8905559,233.1329748,3.770421428,1.338449873
2000000.09,300,0.4,0.6,890.847667,221.423568,1.003239535,0.66462323
2000000.09,300,0.42,0.58,912.2624829,209.8644408,1.284797917,0.756130012
2000000.09,300,0.44,0.56,930.6944441,199.6207706,1.335479866,1.124455773
2000000.09,300,0.46,0.54,950.5388638,188.7714278,1.901149157,0.433191976
2000000.09,300,0.48,0.52,969.54,177.64,1.4,0.39
2000000.09,300,0.5,0.5,986.5579648,169.2249539,2.265423985,0.544476415
2000000.09,300,0.52,0.48,1003.314121,159.9178901,2.288118555,1.005154135
2000000.09,300,0.54,0.46,1018.726354,150.8649577,1.114776163,0.287140856
2000000.09,300,0.56,0.44,1034.547799,141.8720818,1.132390201,0.813997895
2000000.09,300,0.58,0.42,1049.243656,133.7898882,1.643101831,0.804429196
2000000.09,300,0.6,0.4,1063.90028,125.7327701,1.228441962,0.746067212
2000000.09,300,0.62,0.38,1077.991057,117.5218744,2.777362992,1.400415593
2000000.09,300,0.64,0.36,1092.317832,110.0743773,0.636628753,0.473943505
2000000.09,300,0.66,0.34,1103.897994,102.6687882,1.744884389,0.608321356
2000000.09,300,0.68,0.32,1116.966206,95.3967154,1.403279298,0.643927617
2000000.09,300,0.7,0.3,1128.342522,88.23455556,2.931371019,0.425770232
2000000.09,300,0.72,0.28,1139.708067,81.45689183,1.175666591,0.567898147
2000000.09,300,0.74,0.26,1151.222705,74.57622477,1.301187439,0.209885569
2000000.09,300,0.76,0.24,1162.027206,68.21040116,1.712631845,0.195746844
2000000.09,300,0.78,0.22,1172.765287,62.06809199,1.398109013,0.404804126
2000000.09,300,0.8,0.2,1183.876167,55.39043569,3.508199059,0.285345725
2000000.09,300,0.82,0.18,1193.579934,49.37689799,2.386971269,0.219156305
2000000.09,300,0.84,0.16,1204.153783,43.4971711,1.542791001,0.191543974
2000000.09,300,0.86,0.14,1214.029244,37.7810581,1.580869638,0.387530471
2000000.09,300,0.88,0.12,1223.292543,31.94337763,2.08266078,0.113712786
2000000.09,300,0.9,0.1,1231.720979,26.33300408,2.244178421,0.180901918
2000000.09,300,0.92,0.08,1240.06023,20.90219366,2.414146858,0.034428891
2000000.09,300,0.94,0.06,1249.505398,15.53093745,0.890636989,0.108919812
2000000.09,300,0.96,0.04,1258.040383,10.291743,1.320834458,0.12261069
2000000.09,300,0.98,0.02,1266.834373,5.083494572,1.139134979,0.050578506
2400000.088,300,0.02,0.98,96.63790027,667.9723296,0.487951752,1.234105738
2400000.088,300,0.04,0.96,181.5532203,625.9045288,0.932931855,2.866739173
2400000.088,300,0.06,0.94,256.8108443,587.5184214,0.616097209,1.244979671
2400000.088,300,0.08,0.92,324.61433,553.6254098,1.000444872,1.537231859
2400000.088,300,0.1,0.9,385.418742,523.2272725,1.465606348,1.06706552
2400000.088,300,0.12,0.88,441.791972,494.1731139,2.12237186,1.896196949
