Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error,P-bar
1000000.095,300,0.212,0.788,504.8908624,251.545044,0.970629302,0.964814535,10
1000000.095,300,0.308,0.692,650.2934439,201.8546336,1.374160437,0.307642719,10
1000000.095,300,0.404,0.596,765.2715708,159.8413822,1.514319773,1.093457972,10
1000000.095,300,0.5,0.5,857.9986341,124.0588103,3.162579971,0.624623927,10
1000000.095,300,0.596,0.404,932.8113139,93.79995607,1.397226403,0.407354216,10
1000000.095,300,0.692,0.308,998.9657195,67.03639186,1.210721317,0.430448452,10
1000000.095,300,0.788,0.212,1051.822184,43.7017231,1.45238384,0.437589906,10
1000000.095,300,0.884,0.116,1098.768153,22.63368162,1.783235005,0.105759122,10
1000000.095,300,0.98,0.02,1139.97117,3.738372988,2.94137922,0.045471296,10
1000000.095,320,0.02,0.98,49.42768849,301.9942468,0.563624264,0.746821221,10
1000000.095,320,0.116,0.884,231.925252,244.7782729,0.978034674,1.382590546,10
1000000.095,320,0.212,0.788,376.9646934,203.2800035,1.79717188,0.986793033,10
1000000.095,320,0.308,0.692,500.4988324,167.72389,2.308717172,0.600249161,10
1000000.095,320,0.404,0.596,605.6507982,135.803198,1.024280468,0.833981297,10
1000000.095,320,0.5,0.5,696.2491349,107.6372785,1.766243076,0.218602341,10
1000000.095,320,0.596,0.404,773.3120402,82.2593757,1.777526688,0.185959057,10
1000000.095,320,0.692,0.308,841.5301361,59.76040539,1.861318936,0.184954857,10
1000000.095,320,0.788,0.212,900.706577,39.05074551,1.653821624,0.263699671,10
1000000.095,320,0.884,0.116,952.3970804,20.5177322,2.209114333,0.147823955,10
1000000.095,320,0.98,0.02,998.0823157,3.371609808,1.779957183,0.032055148,10
1000000.095,340,0.02,0.98,36.17847672,237.3635575,0.135083494,0.582225607,10
1000000.095,340,0.116,0.884,172.4982705,195.1062707,0.751915091,1.149458316,10
1000000.095,340,0.212,0.788,283.2227155,163.8354452,1.954200842,1.081103623,10
1000000.095,340,0.308,0.692,380.7546826,137.3869001,0.888647525,1.06046753,10
1000000.095,340,0.404,0.596,468.2433479,113.1316608,1.384269373,0.195753554,10
1000000.095,340,0.5,0.5,547.5108963,91.2678372,1.978001574,0.289378468,10
1000000.095,340,0.596,0.404,619.6529611,70.81293219,2.678657073,0.247089847,10
1000000.095,340,0.692,0.308,684.0177137,51.88149966,0.74509693,0.262284741,10
1000000.095,340,0.788,0.212,742.5414848,34.44011724,1.705184738,0.090114924,10
1000000.095,340,0.884,0.116,795.5383318,18.23252345,1.914647308,0.083019596,10
1000000.095,340,0.98,0.02,843.2148139,3.037836092,2.25128748,0.010631527,10
1000000.095,360,0.02,0.98,26.8169579,192.0812321,0.26018533,0.683892249,10
1000000.095,360,0.116,0.884,131.0926828,158.6602209,0.39004194,0.436892984,10
1000000.095,360,0.212,0.788,216.6373117,133.9754605,0.922609926,0.622509387,10
1000000.095,360,0.308,0.692,293.3470889,113.3146181,1.064471527,0.640567842,10
1000000.095,360,0.404,0.596,363.8008402,94.16041575,1.915143651,0.424946936,10
1000000.095,360,0.5,0.5,429.1387233,76.53323597,1.053586795,0.252408278,10
1000000.095,360,0.596,0.404,490.4175725,59.99036187,0.499586708,0.324908407,10
1000000.095,360,0.692,0.308,546.7137735,44.43698119,1.717477525,0.11929976,10
1000000.095,360,0.788,0.212,599.8524688,29.78063685,2.500240832,0.14584429,10
1000000.095,360,0.884,0.116,648.5959596,15.91304376,2.338839044,0.084218876,10
1000000.095,360,0.98,0.02,694.4168569,2.671730969,1.573574156,0.020426022,10
1000000.095,380,0.02,0.98,20.26830917,158.5036205,0.305617157,0.942459303,10
1000000.095,380,0.116,0.884,101.9184621,132.0009068,0.466104313,0.576573609,10
1000000.095,380,0.212,0.788,169.2715499,111.5752161,0.797911953,0.351126707,10
1000000.095,380,0.308,0.692,230.8754452,94.53474659,0.948617674,0.464042219,10
1000000.095,380,0.404,0.596,287.034899,78.9918602,1.29409426,0.346583563,10
1000000.095,380,0.5,0.5,340.6847958,64.50280102,2.2040239,0.236439284,10
1000000.095,380,0.596,0.404,390.7332193,50.89891584,1.466653482,0.21551693,10
1000000.095,380,0.692,0.308,438.5424059,37.98550619,1.176571788,0.180792388,10
1000000.095,380,0.788,0.212,482.9349723,25.58437703,2.045049979,0.116904172,10
1000000.095,380,0.884,0.116,526.7736579,13.72536607,1.387820148,0.071549215,10
1000000.095,380,0.98,0.02,566.8654948,2.328398101,3.230937293,0.016188855,10
1000000.095,400,0.02,0.98,15.50744135,133.2371372,0.14326581,0.3008747,10
1000000.095,400,0.116,0.884,80.11364512,112.1987776,0.605395626,0.433863264,10
1000000.095,400,0.212,0.788,135.6288401,95.05312277,0.782544238,0.535567307,10
1000000.095,400,0.308,0.692,184.6169566,80.44365638,1.116613316,0.100904612,10
1000000.095,400,0.404,0.596,230.5139602,67.25949069,0.99554557,0.265516472,10
1000000.095,400,0.5,0.5,274.0070062,55.07437758,1.069787683,0.125056232,10
1000000.095,400,0.596,0.404,315.6396107,43.51653185,1.062355804,0.178772178,10
1000000.095,400,0.692,0.308,354.9892951,32.63570612,0.923135764,0.086133046,10
1000000.095,400,0.788,0.212,392.7634011,22.02873624,1.227744314,0.092794963,10
1000000.095,400,0.884,0.116,429.5526824,11.86373858,1.928826827,0.046085377,10
1000000.095,400,0.98,0.02,464.1386229,2.016894438,1.074947949,0.025181432,10
2000000.09,200,0.02,0.98,310.3851502,1284.247589,4.479317197,3.310116669,20
2000000.09,200,0.116,0.884,622.175813,1060.654388,3.144250352,2.693140423,20
2000000.09,200,0.212,0.788,838.376266,903.9509704,11.06209008,8.680137585,20
2000000.09,200,0.308,0.692,1004.24175,780.4689476,8.382884149,5.064861415,20
2000000.09,200,0.404,0.596,1148.340186,671.0040181,4.686293598,3.459149807,20
2000000.09,200,0.5,0.5,1276.216648,576.5009795,4.307532206,2.036461455,20
2000000.09,200,0.596,0.404,1399.889597,478.4167397,4.903219485,2.668673893,20
2000000.09,200,0.692,0.308,1518.108146,380.1290909,7.821226558,5.310532897,20
2000000.09,200,0.788,0.212,1636.922903,279.4406404,7.645530678,4.876311816,20
2000000.09,200,0.884,0.116,1680.010129,253.8287288,7.620464288,4.342478364,20
2000000.09,200,0.98,0.02,1899.99018,54.10078143,11.03757915,1.904987747,20
2000000.09,220,0.02,0.98,248.4839924,1207.380908,2.986719316,3.364752333,20
2000000.09,220,0.116,0.884,795.3144895,827.021324,2.580631954,3.767001181,20
2000000.09,220,0.212,0.788,1059.44807,640.4711349,3.469275312,3.13968452,20
2000000.09,220,0.308,0.692,1234.80056,512.3792804,2.864121249,5.408102942,20
2000000.09,220,0.404,0.596,1244.245972,486.2507417,5.731321448,5.372203622,20
2000000.09,220,0.5,0.5,1349.148917,404.642462,2.055013689,3.762874899,20
2000000.09,220,0.596,0.404,1448.579311,324.872518,3.261459572,2.800267661,20
2000000.09,220,0.692,0.308,1546.109107,248.3318183,5.650831365,3.363092213,20
2000000.09,220,0.788,0.212,1636.943876,174.0669586,7.25397728,1.416189368,20
2000000.09,220,0.884,0.116,1725.674717,98.3103691,5.855775914,1.982815314,20
