Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
1500000.1,220,0.212,0.788,771.1002827,29.69378906,10.8942052,1.57256562,15
1500000.1,220,0.308,0.692,812.5484762,19.17480067,14.26516842,3.873241148,15
1500000.1,220,0.404,0.596,817.3566361,17.31762518,12.12600735,1.286845984,15
1500000.1,220,0.5,0.5,823.3302838,15.54959703,5.055061797,0.703618782,15
1500000.1,220,0.596,0.404,837.0699099,11.88915219,12.71527822,1.450449988,15
1500000.1,220,0.692,0.308,845.1698591,8.683461549,15.04334225,1.289703005,15
1500000.1,220,0.788,0.212,852.8686433,6.145265356,8.932247447,0.722684324,15
1500000.1,220,0.884,0.116,863.4335018,3.072616102,5.004085305,0.678358494,15
1500000.1,220,0.98,0.02,881.3118007,0.535944928,9.339406686,0.118782837,15
1500000.1,240,0.02,0.98,173.1451304,164.211822,3.712576676,1.102697839,15
1500000.1,240,0.116,0.884,524.5652469,78.75787967,6.301184953,1.402851978,15
1500000.1,240,0.212,0.788,657.5479665,45.17764449,9.687681892,1.404192876,15
1500000.1,240,0.308,0.692,719.0615897,29.24118977,4.312320549,0.841057624,15
1500000.1,240,0.404,0.596,759.9753209,20.11623505,8.660478897,0.892293009,15
1500000.1,240,0.5,0.5,782.9951139,14.25240211,6.203603636,0.410027762,15
1500000.1,240,0.596,0.404,800.7992173,10.41687838,7.104091542,0.593437278,15
1500000.1,240,0.692,0.308,819.0240347,6.992712112,10.20781099,0.312195904,15
1500000.1,240,0.788,0.212,822.7801823,4.658636476,5.660363874,0.332380856,15
1500000.1,240,0.884,0.116,836.3992407,2.178589943,12.35272782,0.215847246,15
1500000.1,240,0.98,0.02,844.7165027,0.400350795,10.60835487,0.092706763,15
1500000.1,260,0.02,0.98,92.36958941,147.172115,2.383169587,1.471871469,15
1500000.1,260,0.116,0.884,385.1087872,91.30554194,6.368733763,1.906247279,15
1500000.1,260,0.212,0.788,528.09017,59.16595299,6.152010234,1.146618963,15
1500000.1,260,0.308,0.692,611.3591711,40.33454695,4.811920426,1.087773945,15
1500000.1,260,0.404,0.596,659.9399533,28.93953426,4.430907152,0.347143303,15
1500000.1,260,0.5,0.5,705.0530958,19.78328349,7.43638138,1.045793501,15
1500000.1,260,0.596,0.404,731.7828461,13.74384123,5.881067696,0.357022722,15
1500000.1,260,0.692,0.308,750.4310143,9.579543169,8.316892231,0.557307158,15
1500000.1,260,0.788,0.212,771.4232514,5.745279239,3.596656601,0.537988908,15
1500000.1,260,0.884,0.116,779.9763751,2.967422903,3.581419271,0.274518469,15
1500000.1,260,0.98,0.02,794.9080394,0.443316565,4.69639999,0.055222161,15
1500000.1,280,0.02,0.98,50.75500163,122.2589972,1.441294803,1.15122331,15
1500000.1,280,0.116,0.884,253.0790616,91.16829018,6.218687104,0.977676079,15
1500000.1,280,0.212,0.788,393.3991351,66.68708439,2.13401232,0.960587192,15
1500000.1,280,0.308,0.692,491.2828329,47.85421963,2.411014195,0.718435933,15
1500000.1,280,0.404,0.596,556.7075414,34.90033855,4.2826092,0.773462178,15
1500000.1,280,0.5,0.5,603.3803352,25.35229035,5.952511891,0.403740576,15
1500000.1,280,0.596,0.404,639.4106198,17.98684356,5.285228596,0.120048965,15
1500000.1,280,0.692,0.308,668.6845669,12.3006091,6.935699838,0.362852865,15
1500000.1,280,0.788,0.212,693.6942726,7.347212862,7.202040183,0.395285364,15
