Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
40000.96,0.12,.88,0.3426586112,15.8512823539,0.0028849389,0.2263840844
40000.96,0.14,.86,0.4072611492,15.4472237930,0.0042700353,0.2555701502
40000.96,0.16,.84,0.4581235952,15.1055866052,0.0073045365,0.1740773089
40000.96,0.18,.82,0.5182264539,14.8645508533,0.0105328069,0.1693749958
40000.96,0.2,.80,0.5748541140,14.4749268906,0.0088076047,0.1315613025
40000.96,0.22,.78,0.6305778206,14.0396851902,0.0146108821,0.1586950824
40000.96,0.24,.76,0.6861810001,13.6343043761,0.0080144941,0.1470926714
40000.96,0.26,.74,0.7507433624,13.2695828499,0.0081840028,0.1977669872
40000.96,0.28,.72,0.8046189864,12.9316920462,0.0139445948,0.1691203536
40000.96,0.3,.70,0.8696634572,12.6465811855,0.0235917473,0.0906924383
40000.96,0.32,.68,0.9236596084,12.2139288977,0.0148213958,0.1223765403
40000.96,0.34,.66,0.9726739718,11.7657952280,0.0242154940,0.1897908463
40000.96,0.36,.64,1.0377987940,11.5752254758,0.0091291964,0.2291405874
40000.96,0.38,.62,1.0919154723,11.2032866506,0.0141849222,0.0788769696
40000.96,0.4,.60,1.1569599432,10.9010415913,0.0153659601,0.0982694414
40000.96,0.42,.58,1.2203973856,10.5126847879,0.0180520443,0.1211542717
40000.96,0.44,.56,1.2688292013,10.1823418467,0.0086016579,0.1163029259
40000.96,0.46,.54,1.3241913265,9.7115645897,0.0156014348,0.1801257555
40000.96,0.48,.52,1.3849972602,9.3801748647,0.0092215490,0.1105591498
40000.96,0.5,.50,1.4486958448,8.9435007232,0.0121654760,0.2104643927
40000.96,0.52,.48,1.4899964723,8.6404292556,0.0148810703,0.1405126985
40000.96,0.54,.46,1.5472468558,8.3133368537,0.0146568340,0.0658299707
40000.96,0.56,.44,1.6033723195,7.9269634302,0.0151341677,0.0793684501
40000.96,0.58,.42,1.6584130391,7.5026303193,0.0150824551,0.1115783904
40000.96,0.6,.40,1.7231160164,7.1522332035,0.0276652089,0.0675672239
40000.96,0.62,.38,1.7825760638,6.8662408406,0.0160141404,0.1110017643
40000.96,0.64,.36,1.8370543235,6.4444971422,0.0174190517,0.0523001045
40000.96,0.66,.34,1.9106562200,6.1342634695,0.0278886320,0.0742686209
40000.96,0.68,.32,1.9615588417,5.7700377882,0.0196282529,0.0735238904
40000.96,0.7,.30,2.0180057111,5.4035532577,0.0240169221,0.0809868643
40000.96,0.72,.28,2.0731066942,5.0831823099,0.0325864156,0.0551161611
40000.96,0.74,.26,2.1340130671,4.6791788429,0.0105805997,0.0514085300
40000.96,0.76,.24,2.1852973580,4.2680131707,0.0102150696,0.0424982351
40000.96,0.78,.22,2.2390323671,3.9047791794,0.0125928256,0.0456662890
40000.96,0.8,.20,2.3147836640,3.5661170614,0.0160573355,0.0519405152
40000.96,0.82,.18,2.3627333712,3.2157199456,0.0211889912,0.0383478611
40000.96,0.84,.16,2.4272153821,2.8648269849,0.0146922222,0.0207844569
40000.96,0.86,.14,2.4966390050,2.4905742164,0.0339682154,0.0372273008
40000.96,0.88,.12,2.5356295294,2.1527385066,0.0159058105,0.0770255375
40000.96,0.9,.10,2.5996093439,1.7820117469,0.0363560199,0.0372081320
40000.96,0.92,.08,2.6548710299,1.4214773560,0.0201568501,0.0200016289
40000.96,0.94,.06,2.7063963750,1.0482162775,0.0263320690,0.0197574786
40000.96,0.96,.04,2.7838350517,0.7128046987,0.0450654979,0.0178384116
40000.96,0.98,.02,2.8394382312,0.3543087817,0.0262181292,0.0118551186
40000.96,1,0,2.8986170486,0.0000000000,0.0217812397,0.0000000000
60000.94,0,1.00,0.0000000000,26.8394824731,0.0000000000,0.4474852638
60000.94,0.02,.98,0.0859157510,26.2812712188,0.0057389407,0.2470390743
60000.94,0.04,.96,0.1720926440,25.7517638792,0.0053925433,0.2880161158
60000.94,0.06,.94,0.2592337541,25.2415944936,0.0098589377,0.4083233648
60000.94,0.08,.92,0.3458124042,24.6999664991,0.0070470193,0.3054580822
60000.94,0.1,.90,0.4258424140,24.1902929585,0.0115820523,0.2953057788
60000.94,0.12,.88,0.5141084439,23.4583706813,0.0042391555,0.3607695170
60000.94,0.14,.86,0.6049457190,23.0629067666,0.0128029429,0.1682929718
60000.94,0.16,.84,0.6902588344,22.6074456100,0.0094837955,0.1479239903
60000.94,0.18,.82,0.7756121254,21.9599271663,0.0140717922,0.5011676405
60000.94,0.2,.80,0.8629942897,21.4088230234,0.0093885580,0.2966947270
60000.94,0.22,.78,0.9453946663,20.9005268299,0.0110584854,0.3783502458
60000.94,0.24,.76,1.0308684845,20.5015369066,0.0092055175,0.1582856071
60000.94,0.26,.74,1.1280936972,20.1227664394,0.0080658364,0.2175629485
60000.94,0.28,.72,1.2088669575,19.2488121238,0.0175557508,0.1967919514
60000.94,0.3,.70,1.3003872197,18.9640318264,0.0128641246,0.3948358331
60000.94,0.32,.68,1.3867047278,18.2781129440,0.0202063488,0.1617763063
60000.94,0.34,.66,1.4786267470,17.8363701651,0.0213986587,0.2413350286
60000.94,0.36,.64,1.5601633459,17.1709462084,0.0319624350,0.1145507946
60000.94,0.38,.62,1.6439096086,16.6420449015,0.0207939098,0.2963153720
60000.94,0.4,.60,1.7292428118,16.2599137073,0.0194492079,0.1854110088
60000.94,0.42,.58,1.8133104802,15.6128360147,0.0297668157,0.1774299812
60000.94,0.44,.56,1.9103749901,15.1009587187,0.0104664663,0.2276082084
60000.94,0.46,.54,1.9933980901,14.5253928903,0.0130033913,0.1409994395
60000.94,0.48,.52,2.0914870805,13.9670163544,0.0209843053,0.1668209320
60000.94,0.5,.50,2.1515296757,13.4344237572,0.0264328155,0.1560435546
60000.94,0.52,.48,2.2495584025,12.8467923677,0.0151907714,0.1430217721
60000.94,0.54,.46,2.3261935650,12.4140298922,0.0201914927,0.0838803010
60000.94,0.56,.44,2.4324783998,11.8027632256,0.0267394357,0.1473801392
60000.94,0.58,.42,2.5116647197,11.3931401822,0.0073427504,0.1531826561
60000.94,0.6,.40,2.6016783929,10.8095306464,0.0133481426,0.2139267933
60000.94,0.62,.38,2.6806236585,10.1783199930,0.0300245917,0.0992215216
60000.94,0.64,.36,2.7599305056,9.6707951140,0.0177981156,0.0688311840
60000.94,0.66,.34,2.8467100343,9.0950640039,0.0378679054,0.1109667258
60000.94,0.68,.32,2.9442767405,8.6498503101,0.0187054372,0.0420090072
60000.94,0.7,.30,3.0242665746,8.0150034603,0.0251972544,0.0904063475
60000.94,0.72,.28,3.1051402742,7.4967352734,0.0297030495,0.0806718683
60000.94,0.74,.26,3.2136146851,7.0279964902,0.0116913471,0.0860905634
60000.94,0.76,.24,3.2787595951,6.4632290635,0.0118330512,0.1404798589
60000.94,0.78,.22,3.3754625236,5.9085989119,0.0446054420,0.0889969254
60000.94,0.8,.20,3.4661591838,5.3903858189,0.0177273022,0.0465226184
60000.94,0.82,.18,3.5621389495,4.8257285800,0.0283591828,0.0254203703
60000.94,0.84,.16,3.6242104180,4.2700516445,0.0193795738,0.0576826481
60000.94,0.86,.14,3.7411217275,3.7728844160,0.0243236340,0.0397677984
60000.94,0.88,.12,3.8002402814,3.2375922184,0.0467612989,0.0420878603
60000.94,0.9,.10,3.8693826744,2.6650565538,0.0310355689,0.0378691001
60000.94,0.92,.08,3.9780780516,2.1452457381,0.0351645777,0.0497760070
60000.94,0.94,.06,4.0773723132,1.6056011235,0.0349569497,0.0342759363
60000.94,0.96,.04,4.1481819981,1.0614939041,0.0380172696,0.0159539142
60000.94,0.98,.02,4.2365484672,0.5300582785,0.0546203883,0.0195880467
60000.94,1,0,4.3166186527,0.0000000000,0.0476688734,0.0000000000
80000.92,0,1.00,0.0000000000,35.6921333780,0.0000000000,0.3171107469
80000.92,0.02,.98,0.1132151444,35.0627408229,0.0004940693,0.2923159746
80000.92,0.04,.96,0.2296443453,34.4380312481,0.0040602464,0.5126711174
80000.92,0.06,.94,0.3458324921,33.7522776474,0.0086611022,0.5420042260
80000.92,0.08,.92,0.4598310627,32.7363463872,0.0071485513,0.4258257929
80000.92,0.1,.90,0.5721623415,31.9142354183,0.0061464346,0.5463458493
80000.92,0.12,.88,0.6899173409,31.4217511702,0.0184651300,0.4108693395
80000.92,0.14,.86,0.8050408314,30.6487839478,0.0105842728,0.2966698723
80000.92,0.16,.84,0.9193808955,29.9796136069,0.0203283254,0.3007868207
80000.92,0.18,.82,1.0381804633,29.2809129430,0.0110091660,0.3118000135
80000.92,0.2,.80,1.1573014367,28.6675527087,0.0133933771,0.3119137773
80000.92,0.22,.78,1.2633251293,27.9778874421,0.0200104168,0.3551376061
80000.92,0.24,.76,1.3926306447,27.0126425572,0.0109564322,0.2311332918
80000.92,0.26,.74,1.4976700325,26.4834657809,0.0189518048,0.5284507921
80000.92,0.28,.72,1.6202662046,25.8977075836,0.0089463239,0.4220943135
80000.92,0.3,.70,1.7314323879,25.0395652132,0.0227960405,0.3117885541
80000.92,0.32,.68,1.8524817953,24.3825155272,0.0236223401,0.3365013236
80000.92,0.34,.66,1.9589875964,23.3803577385,0.0201703058,0.3349960661
80000.92,0.36,.64,2.0674620073,22.6624844022,0.0342925661,0.2753208068
80000.92,0.38,.62,2.1893149288,22.2098330338,0.0217374737,0.5138339996
80000.92,0.4,.60,2.2953587093,21.2806195503,0.0243151310,0.2091967562
80000.92,0.42,.58,2.4248048396,20.6292996285,0.0303488238,0.2727487603
80000.92,0.44,.56,2.5406916685,20.1299837385,0.0207782017,0.2374964580
80000.92,0.46,.54,2.6483023017,19.1654550740,0.0273542164,0.2160569088
80000.92,0.48,.52,2.7565557461,18.5276331543,0.0320561092,0.1414077748
80000.92,0.5,.50,2.8765003215,17.9101959725,0.0148331927,0.1437412066
80000.92,0.52,.48,2.9846533267,17.2849905527,0.0151916926,0.1753056888
80000.92,0.54,.46,3.0829632835,16.3350066741,0.0165742604,0.1971512959
80000.92,0.56,.44,3.2233372063,15.8189422428,0.0515170908,0.2223704399
80000.92,0.58,.42,3.3348448831,15.1405161290,0.0536165161,0.1732137182
80000.92,0.6,.40,3.4331749278,14.2778009661,0.0266605308,0.1635612961
80000.92,0.62,.38,3.5807202144,13.5595970665,0.0282915297,0.1539073310
80000.92,0.64,.36,3.6931519324,12.9414436641,0.0467931746,0.1665334182
80000.92,0.66,.34,3.7991153616,12.1418110008,0.0406647382,0.1016052518
80000.92,0.68,.32,3.9292043032,11.5054766160,0.0401973473,0.0981830589
80000.92,0.7,.30,4.0417364605,10.7946552972,0.0219959360,0.1119136187
80000.92,0.72,.28,4.1544694964,10.0903350569,0.0456274145,0.0926931244
80000.92,0.74,.26,4.2393205911,9.3532890482,0.0203454890,0.0933636457
80000.92,0.76,.24,4.3786298576,8.5731596206,0.0294216447,0.1514230007
80000.92,0.78,.22,4.4802141346,7.9032730592,0.0347783379,0.0907033990
80000.92,0.8,.20,4.6119502802,7.2049580525,0.0274040478,0.1508035307
80000.92,0.82,.18,4.7276362306,6.4257101271,0.0218115562,0.0410671930
80000.92,0.84,.16,4.8222299344,5.7189657558,0.0424537325,0.0739224725
80000.92,0.86,.14,4.9435203960,4.9696889044,0.0791773494,0.0614416012
80000.92,0.88,.12,5.0235303180,4.3218398974,0.0417059787,0.0560026939
80000.92,0.9,.10,5.1914446884,3.5923968451,0.0320554544,0.0420593679
80000.92,0.92,.08,5.2713742589,2.8728155983,0.0407348767,0.0188160487
80000.92,0.94,.06,5.4109446675,2.1190761422,0.0407714070,0.0583857733
80000.92,0.96,.04,5.5355898008,1.4152517469,0.0195955504,0.0170077268
80000.92,0.98,.02,5.6702587730,0.7091134084,0.0270857811,0.0186176556
80000.92,1,0,5.7644306319,0.0000000000,0.0604825052,0.0000000000
100000.9,0,1.00,0.0000000000,44.4774595542,0.0000000000,1.0116511738
100000.9,0.02,.98,0.1437888579,43.7657016392,0.0050708352,0.3975730821
100000.9,0.04,.96,0.2931420514,43.1153734074,0.0091949552,0.6206651214
100000.9,0.06,.94,0.4304626204,42.0837954835,0.0070422741,0.4447805210
100000.9,0.08,.92,0.5770838657,40.9815321037,0.0078330889,0.4665888954
100000.9,0.1,.90,0.7261156535,40.1375488621,0.0173838034,0.7577184452
100000.9,0.12,.88,0.8654851836,39.0263051788,0.0186167034,0.4513098217
100000.9,0.14,.86,1.0012790757,38.3004432291,0.0236773339,0.2630836652
100000.9,0.16,.84,1.1460522385,37.5435083275,0.0225813774,0.5407210654
100000.9,0.18,.82,1.2848793965,36.6871840554,0.0117026456,0.6056107828
100000.9,0.2,.80,1.4402790340,35.2622357846,0.0121928593,0.5649201886
100000.9,0.22,.78,1.5903754781,34.7065588491,0.0170635202,0.3733058452
100000.9,0.24,.76,1.7311511579,33.7728827608,0.0236700110,0.4426980274
100000.9,0.26,.74,1.8795401344,32.9745723508,0.0232146924,0.1464208634
100000.9,0.28,.72,2.0184476439,32.0169855160,0.0089524046,0.2975590508
100000.9,0.3,.70,2.1574957683,31.1924504162,0.0217917661,0.4850826963
100000.9,0.32,.68,2.3094804706,30.1605970228,0.0298820274,0.2971322906
100000.9,0.34,.66,2.4274162606,29.2476913297,0.0251811133,0.2957501626
100000.9,0.36,.64,2.6085484389,28.5122981376,0.0308904478,0.1403230469
100000.9,0.38,.62,2.7261628232,27.3837549741,0.0366765290,0.3667589601
100000.9,0.4,.60,2.8748732054,26.6769555090,0.0239390456,0.3523899760
100000.9,0.42,.58,3.0256526365,26.0380868054,0.0092907548,0.2345098549
100000.9,0.44,.56,3.1798269149,25.0283811543,0.0179710737,0.1648658825
100000.9,0.46,.54,3.3106189313,23.9054024733,0.0229584719,0.3936954824
100000.9,0.48,.52,3.4564165747,23.2961191866,0.0247218655,0.2525424911
100000.9,0.5,.50,3.5821665398,22.1545738660,0.0261307494,0.2864638997
100000.9,0.52,.48,3.7510853030,21.4309156717,0.0336157708,0.3545010184
100000.9,0.54,.46,3.8752684155,20.4874328717,0.0315442486,0.1479226067
100000.9,0.56,.44,4.0303265595,19.6512178681,0.0548486755,0.1845162916
100000.9,0.58,.42,4.1701380224,18.6934106577,0.0248232282,0.2001130955
100000.9,0.6,.40,4.3137862653,17.7753812331,0.0364183836,0.1865581979
