Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
40000.96,0.26,.74,0.6954160502,17.3862717570,0.0116820290,0.1846269807
40000.96,0.28,.72,0.7559146993,16.9476513217,0.0085633458,0.2183959459
40000.96,0.3,.70,0.8164544340,16.6510120678,0.0161534196,0.1666679418
40000.96,0.32,.68,0.8560815627,16.0004340119,0.0103698853,0.1685733602
40000.96,0.34,.66,0.9160666409,15.5409107916,0.0138264092,0.1223191990
40000.96,0.36,.64,0.9823583694,15.2997681503,0.0059517355,0.1544525976
40000.96,0.38,.62,1.0322980013,14.6312170797,0.0141532473,0.2123118600
40000.96,0.4,.60,1.0830182609,14.2385715032,0.0150241829,0.1173185137
40000.96,0.42,.58,1.1292190968,13.7110438044,0.0158603514,0.1517036579
40000.96,0.44,.56,1.1827331819,13.1844175734,0.0088884265,0.1736564822
40000.96,0.46,.54,1.2320565287,12.6903005256,0.0085469052,0.0868646651
40000.96,0.48,.52,1.3097700735,12.3049230334,0.0121246238,0.1185113981
40000.96,0.5,.50,1.3522731991,11.8385824627,0.0111478493,0.1150986924
40000.96,0.52,.48,1.4119706776,11.2924619902,0.0156048593,0.0859865148
40000.96,0.54,.46,1.4647041350,10.9988651902,0.0182100327,0.1493217393
40000.96,0.56,.44,1.5198205613,10.4842960913,0.0258062678,0.1548480054
40000.96,0.58,.42,1.5707667921,9.8589027925,0.0076385199,0.1002630159
40000.96,0.6,.40,1.6162691716,9.4614118264,0.0045098155,0.1376141992
40000.96,0.62,.38,1.6766856493,8.9860565776,0.0170068836,0.0859644639
40000.96,0.64,.36,1.7305900483,8.5687896613,0.0207660578,0.1629101951
40000.96,0.66,.34,1.7718195182,8.0452058842,0.0193448610,0.0912864783
40000.96,0.68,.32,1.8393438168,7.6127266985,0.0130788206,0.0594916765
40000.96,0.7,.30,1.8795666877,7.1162996394,0.0201620574,0.1300056813
40000.96,0.72,.28,1.9347652853,6.6244362612,0.0118049147,0.1087072629
40000.96,0.74,.26,1.9903336540,6.1720121000,0.0139292240,0.0949291935
40000.96,0.76,.24,2.0590905227,5.6711903853,0.0226875381,0.0376490431
40000.96,0.78,.22,2.0891036047,5.1914968226,0.0135964639,0.0774414769
40000.96,0.8,.20,2.1447336018,4.7509044265,0.0077704266,0.0684163605
40000.96,0.82,.18,2.1930708926,4.2350394676,0.0171523067,0.0498134744
40000.96,0.84,.16,2.2823705963,3.8043632175,0.0283001750,0.0507228797
40000.96,0.86,.14,2.3185670715,3.3091193350,0.0357694445,0.0287637919
40000.96,0.88,.12,2.3673152190,2.8446380417,0.0110801833,0.0667338592
40000.96,0.9,.10,2.4320456920,2.3558734591,0.0252862103,0.0481648926
40000.96,0.92,.08,2.4862993192,1.8690244956,0.0250945944,0.0408127780
40000.96,0.94,.06,2.5329726404,1.3949087650,0.0518117487,0.0154171690
40000.96,0.96,.04,2.5854184981,0.9145391014,0.0189889763,0.0113692315
40000.96,0.98,.02,2.6613448162,0.4594668785,0.0258476317,0.0101993353
40000.96,1,0,2.6832845640,0.0000000000,0.0394966830,0.0000000000
60000.94,0,1.00,0.0000000000,35.2740413295,0.0000000000,0.6440577046
60000.94,0.02,.98,0.0805279132,34.3672210462,0.0020659961,0.3481620747
60000.94,0.04,.96,0.1631922812,33.8321998962,0.0029486277,0.4947033242
60000.94,0.06,.94,0.2416864537,32.9472965492,0.0052784559,0.3140011534
60000.94,0.08,.92,0.3249671068,32.2242630174,0.0064602957,0.1060201581
60000.94,0.1,.90,0.4044062497,31.5972921499,0.0147751981,0.2237837344
60000.94,0.12,.88,0.4881799308,30.9071621934,0.0075667640,0.2517470728
60000.94,0.14,.86,0.5750966656,30.1916784546,0.0133682195,0.4552829829
